x1,x2,x3,x4,x5
188,185,208,185,193
189,186,200,185,195
214,188,188,185,212
205,189,204,188,213
190,190,175,189,184
185,190,197,190,186
193,195,190,195,187
188,196,192,197,208
213,197,206,202,212
185,197,199,195,207
188,198,202,195,211
211,199,191,195,214
208,199,210,197,205
189,205,199,202,200
213,185,188,197,194
193,187,209,202,195
201,210,200,204,193
195,191,208,204,197
195,192,189,205,196
190,187,213,208,195
206,191,190,211,207
203,190,198,212,197
207,194,185,212,198
204,205,204,215,193
